table_name,table_id,table_category,field_order,field_name,field_id,field_type,option_count,options_preview
✅✅136学员-NEWBIBLE_（Dcode),tbloNC2PXiCTMGfQ,Bible core,58,"杂费定金补款  (A,B,C,D)",fldJU2FkyQ,lookup,0,
✅✅136学员-NEWBIBLE_（Dcode),tbloNC2PXiCTMGfQ,Bible core,59,英文名字,fld7bXtZTW,text,0,
✅✅136学员-NEWBIBLE_（Dcode),tbloNC2PXiCTMGfQ,Bible core,60,基础 - 全款/订金,flde0Kr9uW,formula,0,
✅✅136学员-NEWBIBLE_（Dcode),tbloNC2PXiCTMGfQ,Bible core,61,"2 Call Status /学员的位置  (A,B,C,D)",fldjcroYaI,select,14,"Yes; No，不当班; No,事业; No,家庭; YES; No.大目标; No.未上线; No.Happy 工作坊 待定 事业; No.Happy 事业待确认，自己都不确定什么结果; No, 教练没有提前和学员整理家庭对象和事业; No.事业需要重算+整理; No.教练没有提前整理家庭要梳理; 刘翊隆; Lau Aik Leong"
✅✅136学员-NEWBIBLE_（Dcode),tbloNC2PXiCTMGfQ,Bible core,62,全报,fld37lkP7m,select,19,基础全款; 连报; 连报+全款; 连报+M; 连报+M+全款; 高阶; 高阶+全款; 高阶+M; 高阶+M+全款; 复读基础; 复读高阶; 复读-高阶+全款; 复读高阶+M; 复读-高阶+M+全款; 复读-高阶二; 毕业生-复读基础; 毕业生-复读基础+复读高阶一; 毕业生-复读基础+复读高阶二; 全报+M
✅✅136学员-NEWBIBLE_（Dcode),tbloNC2PXiCTMGfQ,Bible core,63,邮箱,fld7uLB2sP,text,0,
✅✅136学员-NEWBIBLE_（Dcode),tbloNC2PXiCTMGfQ,Bible core,64,紧急联系人（姓名、关系、电话）,fldbdsENL8,text,0,
✅✅136学员-NEWBIBLE_（Dcode),tbloNC2PXiCTMGfQ,Bible core,65,文字-4,fld9Nh7axi,text,0,
✅✅136学员-NEWBIBLE_（Dcode),tbloNC2PXiCTMGfQ,Bible core,66,高阶一确认当班人数,fldinQISul,formula,0,
✅✅136学员-NEWBIBLE_（Dcode),tbloNC2PXiCTMGfQ,Bible core,67,高阶-Invoice Name,fldcSFwUNA,text,0,
✅✅136学员-NEWBIBLE_（Dcode),tbloNC2PXiCTMGfQ,Bible core,68,总费用,fldH64Rore,formula,0,
✅✅136学员-NEWBIBLE_（Dcode),tbloNC2PXiCTMGfQ,Bible core,69,"高阶一C1-4信息  (A,B,C,D)",fldCBOwgh2,select,2,已发出; 已回复
✅✅136学员-NEWBIBLE_（Dcode),tbloNC2PXiCTMGfQ,Bible core,70,州,fldDJzKBt7,select,50,Kuala Lumpur; Johor; Kedah; Kelantan; Malacca; Negeri Sembilan; Pahang; Perak; Perlis; Penang; Sabah; Sarawak; Terengganu; Singapore; Selangor; 017-6248672; 011-68266865; 010-2129019; 013-3323988; *0061468394134
✅✅136学员-NEWBIBLE_（Dcode),tbloNC2PXiCTMGfQ,Bible core,71,高阶四已进课室人数,fldrIarGll,formula,0,
✅✅136学员-NEWBIBLE_（Dcode),tbloNC2PXiCTMGfQ,Bible core,72,"高阶二总费用  (A,B,C,D)",fldqp668Em,lookup,0,
✅✅136学员-NEWBIBLE_（Dcode),tbloNC2PXiCTMGfQ,Bible core,73,"信念系统当班期别 (A,B,C,D)",fldCsXxw3P,text,0,
✅✅136学员-NEWBIBLE_（Dcode),tbloNC2PXiCTMGfQ,Bible core,74,序号,fldEV3sB63,formula,0,
